,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__nn1,param_clf__lr,param_clf__kernel_initializer,param_clf__epochs,param_clf__dropout,param_clf__batch_size,param_clf__act1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
25,144.53091937303543,2.245098518158564,0.2884591817855835,0.012564426557159355,10,0.1,uniform,400,0.1,500,softmax,"{'clf__nn1': 10, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 400, 'clf__dropout': 0.1, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.09242496310278427,-0.09965242881530015,-0.09082581980745921,-0.08190412394875704,-0.09120183391857517,0.00631461393127941,3
26,23.18492841720581,1.1080275562541801,0.21317994594573975,0.004022485094964946,10,0.05,uniform,400,0.1,10000,softmax,"{'clf__nn1': 10, 'clf__lr': 0.05, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 400, 'clf__dropout': 0.1, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.11549772437690764,-0.1192985561697982,-0.10987718553506126,-0.10526507480661998,-0.11248463522209676,0.005348576245121319,24
27,21.45570570230484,1.1764653131214127,0.24341970682144165,0.007015461499089498,15,0.3,uniform,100,0.2,1000,softmax,"{'clf__nn1': 15, 'clf__lr': 0.3, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.2, 'clf__batch_size': 1000, 'clf__act1': 'softmax'}",-0.09202280351819918,-0.10037026288666466,-0.09118578669636748,-0.0826075378545495,-0.0915465977389452,0.006287304963347422,6
28,116.7391249537468,37.90790782204065,0.46559780836105347,0.2938966841213768,5,0.1,uniform,250,0.3,500,softmax,"{'clf__nn1': 5, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.3, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.0934914306325968,-0.10021493286471958,-0.09242834679262582,-0.08364894703146099,-0.09244591433035079,0.005891470436184548,16
29,163.88180881738663,92.17740701585315,12.191643297672272,20.54882476119534,10,0.01,uniform,250,0.2,500,softmax,"{'clf__nn1': 10, 'clf__lr': 0.01, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.2, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.1419512025376623,-0.1488930499253347,-0.13936312277187674,-0.13595069933307263,-0.1415395186419866,0.004749092182098035,29
30,156.48290812969208,8.004792102837316,0.33981335163116455,0.08582490695490232,15,0.01,uniform,400,0.3,500,softmax,"{'clf__nn1': 15, 'clf__lr': 0.01, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 400, 'clf__dropout': 0.3, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.11885510627613512,-0.12561965254388113,-0.11412883708758871,-0.115263026409833,-0.11846665557935948,0.004483195530022943,27
31,4.864177405834198,0.02319614859031364,0.2163199782371521,0.008529951208576275,25,0.1,uniform,100,0.3,51600,softmax,"{'clf__nn1': 25, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.3, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.1949530988931656,-0.20330676436424255,-0.1880159080028534,-0.18382877111434937,-0.19252613559365273,0.007384077622714751,33
32,58.09483516216278,3.297820966958142,0.4190332889556885,0.23803507441304356,15,0.05,uniform,250,0.1,1000,softmax,"{'clf__nn1': 15, 'clf__lr': 0.05, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.1, 'clf__batch_size': 1000, 'clf__act1': 'softmax'}",-0.09613927009031754,-0.10531587459782298,-0.09357801143282143,-0.0880757060854934,-0.09577721555161384,0.0062303059054447645,21
33,70.02737706899643,6.361869514646943,0.30006349086761475,0.0036918099985690065,5,0.3,uniform,250,0.2,1000,softmax,"{'clf__nn1': 5, 'clf__lr': 0.3, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.2, 'clf__batch_size': 1000, 'clf__act1': 'softmax'}",-0.09263553522353948,-0.10085948227449905,-0.09176826881345852,-0.08310169663078101,-0.09209124573556951,0.006286782369562224,14
34,7.187510073184967,0.31435767048566327,0.24635332822799683,0.02319654855835411,10,0.05,uniform,100,0.2,10000,softmax,"{'clf__nn1': 10, 'clf__lr': 0.05, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.2, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.19548298499380895,-0.2062477690073871,-0.18781649638978085,-0.18699538915656333,-0.19413565988688505,0.007736823729672912,34
35,281.25997507572174,50.76341148119184,0.5898277759552002,0.06409211229494402,5,0.05,uniform,400,0.2,500,softmax,"{'clf__nn1': 5, 'clf__lr': 0.05, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 400, 'clf__dropout': 0.2, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.0953707825825658,-0.10069631814032562,-0.09172312571674354,-0.08373873426701671,-0.09288224017666291,0.006168466267620852,19
36,12.703462600708008,1.9867811527160266,0.4672999978065491,0.024923069574677777,25,0.3,uniform,100,0.2,10000,softmax,"{'clf__nn1': 25, 'clf__lr': 0.3, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.2, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.09318098275698433,-0.1003043328722318,-0.0903770810411882,-0.08372456297393917,-0.09189673991108586,0.005946232800278741,11
37,40.30358648300171,1.6531228941869496,0.69402015209198,0.2549142319108929,25,0.1,uniform,100,0.3,1000,softmax,"{'clf__nn1': 25, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.3, 'clf__batch_size': 1000, 'clf__act1': 'softmax'}",-0.09374434905227765,-0.10129979882360429,-0.09166693872259568,-0.08422285485868305,-0.09273348536429016,0.006082185565666303,18
38,41.35973656177521,1.5055996000215606,0.4096466302871704,0.05480940430153653,25,0.3,uniform,100,0.2,1000,softmax,"{'clf__nn1': 25, 'clf__lr': 0.3, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 100, 'clf__dropout': 0.2, 'clf__batch_size': 1000, 'clf__act1': 'softmax'}",-0.09266783042933589,-0.10071575352849886,-0.09105289069026015,-0.08245768380719562,-0.09172353961382262,0.006481848695384645,9
39,22.942754447460175,2.142164401539406,0.3471142053604126,0.042938502723170194,5,0.1,uniform,250,0.2,10000,softmax,"{'clf__nn1': 5, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.2, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.10528997961402864,-0.11108339254477227,-0.1025346482909003,-0.09873402228420095,-0.10441051068347554,0.004501172019530255,23
