,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__nn2,param_clf__nn1,param_clf__lr,param_clf__kernel_initializer,param_clf__epochs,param_clf__dropout,param_clf__batch_size,param_clf__act1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,15.172071361541748,0.013628427982970771,0.28990731239318845,0.1594511528325455,40,10,0.2,uniform,350,0.1,51600,softmax,"{'clf__nn2': 40, 'clf__nn1': 10, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 350, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.09783829748630524,-0.10292312502861023,-0.11070350557565689,-0.0889148935675621,-0.10059747844934464,-0.10019546002149582,0.007082770521690104,17
19,17.87597589492798,0.116529548397849,0.21892843246459961,0.005931379495493553,40,15,0.1,uniform,250,0.2,10000,softmax,"{'clf__nn2': 40, 'clf__nn1': 15, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.2, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.09778299708237019,-0.1144728605137315,-0.1106336467949919,-0.08890767447477163,-0.092805380507033,-0.10092051187457965,0.009980167956476,20
20,10.81333818435669,0.11179656147702997,0.3045025825500488,0.1727155747077536,15,10,0.1,uniform,150,0.2,10000,softmax,"{'clf__nn2': 15, 'clf__nn1': 10, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 150, 'clf__dropout': 0.2, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.09911171069671941,-0.11452643729226533,-0.11074862080489019,-0.09133756218492523,-0.10228840706422347,-0.10360254760860473,0.008279156683262675,28
21,6.967834186553955,0.01807038288847176,0.21053457260131836,0.001021981254614569,40,15,0.2,uniform,150,0.1,51600,softmax,"{'clf__nn2': 40, 'clf__nn1': 15, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 150, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.09845367074012756,-0.11435123533010483,-0.11040164530277252,-0.09027904272079468,-0.10149041563272476,-0.10299520194530487,0.008583769456378605,26
22,15.25972843170166,0.18520136374280294,0.2111361503601074,0.000749798834858428,15,10,0.2,uniform,350,0.1,51600,softmax,"{'clf__nn2': 15, 'clf__nn1': 10, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 350, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.09808379411697388,-0.11420118808746338,-0.10797674208879471,-0.08965965360403061,-0.10089045017957687,-0.10216236561536789,0.008406075686919832,21
23,11.124184179306031,0.21819503025438472,0.21552748680114747,0.002061325011485719,40,20,0.2,uniform,150,0.1,10000,softmax,"{'clf__nn2': 40, 'clf__nn1': 20, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 150, 'clf__dropout': 0.1, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.09320123089376346,-0.1144478971990504,-0.110878262004649,-0.08886491374451985,-0.09035086354543996,-0.09954863347748452,0.010857061302428927,16
24,68.91371569633483,0.35154659775521524,0.2743080615997314,0.0020600545405648277,15,10,0.2,uniform,150,0.2,500,softmax,"{'clf__nn2': 15, 'clf__nn1': 10, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 150, 'clf__dropout': 0.2, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.09019676546111356,-0.10708267216447943,-0.10355796265711849,-0.0808127081516206,-0.08945449884230083,-0.0942209214553266,0.009708735959925528,4
25,159.19434418678284,1.1033704485324136,0.2753147602081299,0.00101639825563059,15,20,0.2,uniform,350,0.1,500,softmax,"{'clf__nn2': 15, 'clf__nn1': 20, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 350, 'clf__dropout': 0.1, 'clf__batch_size': 500, 'clf__act1': 'softmax'}",-0.09050270555497603,-0.10745813870123884,-0.10571613164199878,-0.08124905539488839,-0.09174386195318643,-0.09533397864925768,0.009893427701410175,8
26,15.208077526092529,0.09152583676074202,0.21272592544555663,0.0029877020849286926,20,20,0.2,uniform,350,0.1,51600,softmax,"{'clf__nn2': 20, 'clf__nn1': 20, 'clf__lr': 0.2, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 350, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.09787669032812119,-0.11426372826099396,-0.11047931015491486,-0.0892193540930748,-0.10080526024103165,-0.1025288686156273,0.008974109616444848,24
27,11.056784057617188,0.2550046510411405,0.21692900657653807,0.0014102477245367317,20,15,0.1,uniform,150,0.1,10000,softmax,"{'clf__nn2': 20, 'clf__nn1': 15, 'clf__lr': 0.1, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 150, 'clf__dropout': 0.1, 'clf__batch_size': 10000, 'clf__act1': 'softmax'}",-0.09880458124617274,-0.11445433426966038,-0.11052744610365046,-0.09061092814040739,-0.10155848067167193,-0.10319115408631259,0.008495294427116312,27
28,15.383637857437133,0.06668338798497139,0.20993642807006835,0.0006286566805547266,20,40,0.05,uniform,350,0.1,51600,softmax,"{'clf__nn2': 20, 'clf__nn1': 40, 'clf__lr': 0.05, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 350, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.1655084490776062,-0.1733332872390747,-0.16889052093029022,-0.1763244867324829,-0.16563057899475098,-0.169937464594841,0.004279887762050091,37
29,11.18224277496338,0.22220554467451206,0.21213278770446778,0.002035544210484692,20,20,0.3,uniform,250,0.1,51600,softmax,"{'clf__nn2': 20, 'clf__nn1': 20, 'clf__lr': 0.3, 'clf__kernel_initializer': 'uniform', 'clf__epochs': 250, 'clf__dropout': 0.1, 'clf__batch_size': 51600, 'clf__act1': 'softmax'}",-0.089813232421875,-0.11441925913095474,-0.1107378602027893,-0.08890610188245773,-0.10059252381324768,-0.10089379549026489,0.010453881741540707,19
